Age 	Both Sexes Population 	Male Population 	Female Population 	Sex Ratio
Total 	7,017,543,964 	3,532,503,174 	3,485,040,790 	101.4
0 	129,875,681 	67,027,846 	62,847,835 	106.7
1 	127,653,584 	65,887,298 	61,766,286 	106.7
2 	126,286,357 	65,221,331 	61,065,026 	106.8
3 	125,274,630 	64,734,228 	60,540,402 	106.9
4 	124,217,303 	64,222,662 	59,994,641 	107.0
5 	122,872,897 	63,554,114 	59,318,783 	107.1
6 	121,959,816 	63,109,951 	58,849,865 	107.2
7 	121,602,193 	62,950,969 	58,651,224 	107.3
8 	121,096,044 	62,694,366 	58,401,678 	107.4
9 	120,357,811 	62,318,188 	58,039,623 	107.4
10 	119,836,244 	62,050,067 	57,786,177 	107.4
11 	119,559,698 	61,915,775 	57,643,923 	107.4
12 	119,079,551 	61,663,562 	57,415,989 	107.4
13 	118,885,845 	61,556,696 	57,329,149 	107.4
14 	118,973,593 	61,566,960 	57,406,633 	107.2
15 	119,093,755 	61,584,669 	57,509,086 	107.1
16 	119,442,924 	61,722,457 	57,720,467 	106.9
17 	119,693,977 	61,780,357 	57,913,620 	106.7
18 	119,183,383 	61,405,781 	57,777,602 	106.3
19 	118,667,466 	61,046,565 	57,620,901 	105.9
20 	118,795,461 	61,031,409 	57,764,052 	105.7
21 	119,295,631 	61,172,940 	58,122,691 	105.2
22 	122,582,550 	62,923,183 	59,659,367 	105.5
23 	120,623,368 	61,653,332 	58,970,036 	104.6
24 	119,323,326 	60,880,317 	58,443,009 	104.2
25 	119,627,102 	60,971,981 	58,655,121 	103.9
26 	114,378,500 	58,238,270 	56,140,230 	103.7
27 	111,115,073 	56,548,292 	54,566,781 	103.6
28 	110,174,831 	55,981,523 	54,193,308 	103.3
29 	109,359,856 	55,513,464 	53,846,392 	103.1
30 	111,503,299 	56,713,769 	54,789,530 	103.5
31 	104,321,346 	53,045,642 	51,275,704 	103.5
32 	103,604,700 	52,647,752 	50,956,948 	103.3
33 	101,756,783 	51,680,095 	50,076,688 	103.2
34 	99,478,964 	50,474,128 	49,004,836 	103.0
35 	98,427,020 	49,913,016 	48,514,004 	102.9
36 	98,102,219 	49,702,601 	48,399,618 	102.7
37 	98,013,135 	49,626,397 	48,386,738 	102.6
38 	98,391,107 	49,765,548 	48,625,559 	102.3
39 	98,210,671 	49,628,199 	48,582,472 	102.2
40 	97,225,686 	49,191,413 	48,034,273 	102.4
41 	97,552,395 	49,413,124 	48,139,271 	102.6
42 	95,936,352 	48,447,940 	47,488,412 	102.0
43 	95,233,696 	48,066,938 	47,166,758 	101.9
44 	90,914,052 	45,883,194 	45,030,858 	101.9
45 	87,597,445 	44,054,100 	43,543,345 	101.2
46 	88,217,411 	44,260,218 	43,957,193 	100.7
47 	86,922,149 	43,512,478 	43,409,671 	100.2
48 	86,450,712 	43,184,592 	43,266,120 	99.8
49 	86,717,839 	43,344,535 	43,373,304 	99.9
50 	74,541,170 	36,997,136 	37,544,034 	98.5
51 	69,208,404 	34,185,548 	35,022,856 	97.6
52 	70,335,364 	34,825,474 	35,509,890 	98.1
53 	68,343,639 	33,766,175 	34,577,464 	97.7
54 	70,886,364 	35,088,819 	35,797,545 	98.0
55 	68,156,133 	33,575,338 	34,580,795 	97.1
56 	65,560,642 	32,200,484 	33,360,158 	96.5
57 	65,568,367 	32,250,907 	33,317,460 	96.8
58 	62,253,798 	30,526,901 	31,726,897 	96.2
59 	59,410,561 	29,043,726 	30,366,835 	95.6
60 	57,204,022 	27,926,137 	29,277,885 	95.4
61 	53,279,009 	25,901,860 	27,377,149 	94.6
62 	52,589,473 	25,603,579 	26,985,894 	94.9
63 	48,531,421 	23,503,515 	25,027,906 	93.9
64 	46,172,833 	22,304,806 	23,868,027 	93.5
65 	43,665,330 	21,012,917 	22,652,413 	92.8
66 	39,086,398 	18,714,326 	20,372,072 	91.9
67 	36,663,440 	17,514,958 	19,148,482 	91.5
68 	35,289,560 	16,793,190 	18,496,370 	90.8
69 	33,790,381 	15,949,494 	17,840,887 	89.4
70 	33,136,660 	15,472,593 	17,664,067 	87.6
71 	31,847,775 	14,767,345 	17,080,430 	86.5
72 	30,207,998 	13,850,551 	16,357,447 	84.7
73 	28,352,399 	12,871,139 	15,481,260 	83.1
74 	27,075,865 	12,199,358 	14,876,507 	82.0
75 	25,226,408 	11,253,447 	13,972,961 	80.5
76 	23,465,226 	10,359,243 	13,105,983 	79.0
